23.43	0.07;0.22;0.17;0.22;16.0;0.07;0.22	0.07;0.22;0.17;0.22;16.5;0.07;0.22	0.07;0.22;0.17;0.22;20.0;0.07;0.22	0.07;0.22;0.17;0.22;18.0;0.07;0.22	0.15;0.25;0.09;0.25;9.5;0.15;0.25	0.13;0.29;0.11;0.29;26.5;0.11;0.29	0.14;0.26;0.10;0.26;19.5;0.11;0.26	0.14;0.26;0.10;0.26;17.0;0.11;0.26
24.05	0.09;0.25;0.15;0.25;16.0;0.09;0.25	0.09;0.25;0.15;0.25;18.5;0.09;0.25	0.09;0.25;0.15;0.25;17.5;0.09;0.25	0.09;0.25;0.15;0.25;15.5;0.09;0.25	0.13;0.28;0.11;0.28;18.0;0.13;0.28	0.13;0.29;0.11;0.29;18.5;0.09;0.26	0.14;0.26;0.10;0.26;24.5;0.09;0.25	0.14;0.26;0.10;0.26;23.5;0.09;0.25
25.35	0.11;0.28;0.13;0.28;25.5;0.13;0.28	0.11;0.28;0.13;0.28;26.5;0.13;0.28	0.11;0.28;0.13;0.28;26.5;0.13;0.28	0.11;0.28;0.13;0.28;25.5;0.13;0.28	0.13;0.28;0.11;0.28;16.0;0.09;0.26	0.13;0.29;0.11;0.29;19.5;0.05;0.20	0.14;0.26;0.10;0.26;19.0;0.05;0.19	0.14;0.26;0.10;0.26;19.5;0.05;0.19
26.66	0.11;0.28;0.13;0.28;26.5;0.17;0.23	0.11;0.28;0.13;0.28;29.5;0.17;0.23	0.11;0.28;0.13;0.28;31.0;0.17;0.23	0.11;0.28;0.13;0.28;30.5;0.17;0.23	0.13;0.28;0.11;0.28;24.5;0.05;0.20	0.13;0.29;0.11;0.29;18.0;0.01;0.14	0.14;0.26;0.10;0.26;16.5;0.01;0.13	0.14;0.26;0.10;0.26;18.0;0.01;0.13
27.29	0.11;0.28;0.13;0.28;22.0;0.18;0.20	0.11;0.28;0.13;0.28;22.0;0.18;0.20	0.11;0.28;0.13;0.28;23.5;0.18;0.20	0.11;0.28;0.13;0.28;24.0;0.18;0.20	0.13;0.28;0.11;0.28;18.0;0.04;0.17	0.13;0.29;0.11;0.29;18.5;0.00;0.12	0.14;0.26;0.10;0.26;18.0;0.01;0.12	0.14;0.26;0.10;0.26;19.0;0.01;0.12
28.49	0.11;0.28;0.13;0.28;17.0;0.22;0.15	0.11;0.28;0.13;0.28;16.0;0.22;0.15	0.11;0.28;0.13;0.28;20.5;0.22;0.15	0.11;0.28;0.13;0.28;16.0;0.22;0.15	0.13;0.28;0.11;0.28;25.0;0.00;0.12	0.13;0.29;0.11;0.29;25.5;0.04;0.12	0.14;0.26;0.10;0.26;23.0;0.05;0.12	0.14;0.26;0.10;0.26;21.5;0.05;0.12
29.11	0.11;0.28;0.13;0.28;19.0;0.24;0.12	0.11;0.28;0.13;0.28;18.0;0.24;0.12	0.11;0.28;0.13;0.28;19.5;0.24;0.12	0.11;0.28;0.13;0.28;18.0;0.24;0.12	0.13;0.28;0.11;0.28;28.5;0.02;0.12	0.13;0.29;0.11;0.29;25.0;0.06;0.12	0.14;0.26;0.10;0.26;17.5;0.07;0.12	0.14;0.26;0.10;0.26;17.0;0.07;0.12
30.10	0.11;0.28;0.13;0.28;21.5;0.21;0.12	0.11;0.28;0.13;0.28;23.0;0.21;0.12	0.11;0.28;0.13;0.28;23.5;0.21;0.12	0.11;0.28;0.13;0.28;21.0;0.21;0.12	0.13;0.28;0.11;0.28;41.5;0.05;0.12	0.13;0.29;0.11;0.29;18.5;0.09;0.12	0.14;0.26;0.10;0.26;23.5;0.09;0.12	0.14;0.26;0.10;0.26;23.5;0.09;0.12
31.26	0.11;0.28;0.13;0.28;21.0;0.18;0.12	0.11;0.28;0.13;0.28;22.5;0.18;0.12	0.11;0.28;0.13;0.28;24.0;0.18;0.12	0.11;0.28;0.13;0.28;23.0;0.18;0.12	0.13;0.28;0.11;0.28;26.0;0.08;0.12	0.13;0.29;0.11;0.29;24.0;0.12;0.12	0.14;0.26;0.10;0.26;25.0;0.13;0.12	0.14;0.26;0.10;0.26;26.5;0.13;0.12
32.00	0.11;0.28;0.13;0.28;15.0;0.15;0.12	0.11;0.28;0.13;0.28;14.5;0.15;0.12	0.11;0.28;0.13;0.28;16.0;0.15;0.12	0.11;0.28;0.13;0.28;14.0;0.15;0.12	0.13;0.28;0.11;0.28;26.0;0.11;0.12	0.13;0.29;0.11;0.29;22.5;0.15;0.12	0.14;0.26;0.10;0.26;22.0;0.15;0.12	0.14;0.26;0.10;0.26;21.5;0.15;0.12
